,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,wdsp,NUM_COLLISIONS
71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,68.4,57.3,3,0.265895954
72,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,65.4,49.1,5.7,0.765895954
73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,62.8,41.8,3.1,0.430635838
74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,68.5,49.7,2.1,0.806358382
75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,70.4,54.8,3.2,0.751445087
76,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,70.5,57.7,2.3,0.684971098
77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,67.2,54.1,5.1,0.534682081
78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,65.1,46.5,1.9,0.248554913
79,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,66.5,48,2.2,0.231213873
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,70.6,64.8,5.5,0.531791908
81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,66.7,56.1,6.3,0.693641618
82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,61,48.3,4.6,0.433526012
83,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,64.7,53.7,4.7,0.815028902
84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,66.3,60.6,5.6,0.505780347
85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,63.8,50.3,6.4,0.312138728
86,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,59,40.4,3.3,0.549132948
87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,62,43.4,4.9,0.641618497
88,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,67.7,56.8,4.3,0.092485549
89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,69,60.4,1.8,0.716763006
90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,65.2,61.8,5.1,0.956647399
91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,62.4,58.8,3.9,0.326589595
92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,60.5,52.5,3.9,0.222543353
93,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,60.6,46.8,4.7,0.528901734
94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,63.7,54.2,2.4,0.638728324
95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,65.6,64.3,3.5,0.375722543
96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,68.6,66.2,2.2,0.526011561
97,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,67.8,59.7,3.3,0.927745665
98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,66.1,57.9,5.2,0.369942197
99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,52.5,42.3,2,0.315028902
100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,49.9,42.9,3.5,0.011560694
101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,53.8,48.5,5.6,0.572254335
102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,58.2,53.8,5.2,0.774566474
103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,53.4,35.3,5.5,0.823699422
104,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,51.2,35.9,5.3,0.641618497
105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,45.2,25.9,3.1,0.505780347
106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,58.7,45.9,5,0.419075145
107,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,65.3,57.8,4.5,0.679190751
108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,55.8,42.5,5.8,0.664739884
109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,51.9,38,1.3,0.702312139
110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,56.8,46.7,3.1,0.74566474
111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,62.7,58.6,6.3,0.621387283
112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,56.5,39,5,0.156069364
113,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,57.8,40.1,4.3,0.684971098
114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,59,44.9,2.2,0.433526012
115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,57.1,53.5,4.1,0.352601156
116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,58,51.3,3,0.401734104
117,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,60.8,53.4,1.5,0.653179191
118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,61.9,53.9,4.3,0.439306358
