"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_COLLISIONS"
"95",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,65.6,64.3,3.5,0.375722543352601
"96",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,68.6,66.2,2.2,0.526011560693642
"97",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,67.8,59.7,3.3,0.927745664739884
"98",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,66.1,57.9,5.2,0.369942196531792
"99",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,52.5,42.3,2,0.315028901734104
"100",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,49.9,42.9,3.5,0.0115606936416185
"101",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,53.8,48.5,5.6,0.572254335260116
"102",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,58.2,53.8,5.2,0.774566473988439
"103",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,53.4,35.3,5.5,0.823699421965318
"104",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,51.2,35.9,5.3,0.641618497109827
"105",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,45.2,25.9,3.1,0.505780346820809
"106",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,58.7,45.9,5,0.419075144508671
"107",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,65.3,57.8,4.5,0.679190751445087
"108",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,55.8,42.5,5.8,0.664739884393064
"109",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,51.9,38,1.3,0.702312138728324
"110",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,56.8,46.7,3.1,0.745664739884393
"111",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,62.7,58.6,6.3,0.621387283236994
"112",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,56.5,39,5,0.15606936416185
"113",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,57.8,40.1,4.3,0.684971098265896
"114",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,59,44.9,2.2,0.433526011560694
"115",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,57.1,53.5,4.1,0.352601156069364
"116",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,58,51.3,3,0.401734104046243
"117",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,60.8,53.4,1.5,0.653179190751445
